term	estimate	std.error	conf.low	conf.high
(Intercept)	0.5249402922334945	0.10254230809877682	0.35692559357047265	0.6974553120320333
log_lemma_freq_scaled	0.12441593462542916	0.129464217319812	-0.08941276322403063	0.33018416493450997
translation.L	-0.041399223040073645	0.04322645080050937	-0.11687022484729202	0.02934372568430707
translation.Q	-0.3079514893823345	0.043561547269179095	-0.37939416170780166	-0.23947647607778552
translation.C	0.3504043896063538	0.04377862209024229	0.27945224261490853	0.42033312059739136
translation^4	0.006773441511309986	0.04393197424080708	-0.06620188991455689	0.07764898385284644
translation^5	0.17995584694519118	0.04343973706707697	0.10955873470589333	0.25036870674676975
translation^6	-0.024952902578140843	0.04407033680878213	-0.09615665281373866	0.04617924413251138
numberP	0.2641395333712217	0.03666188797745304	0.20159089946289793	0.32718309236609416
person2	-2.638154813645635	0.09320192282178136	-2.7890876255161023	-2.4861822512887177
person1	-2.9769752381348447	0.08715659427743115	-3.1270367537068693	-2.8356873099260937
prefixprefixed verb	0.40447764481942877	0.04964756153746196	0.32399982986049125	0.4870944632324763
motion_verbmotion verb	0.14717751123031805	0.05048056869082049	0.0672092821994393	0.22825588978061723
communication_verbcommunicative verb	2.2963018178799404	0.06740283275600548	2.1900064250739604	2.40553477098217
modal_verbmodal verb	-0.21550798422147976	0.15515499395450197	-0.4727195683042412	0.03704550554179145
lemma_length	-0.40841153468092123	0.17181275752785985	-0.6995956334963361	-0.12861342603416578
