effect	component	group	term	estimate	std.error	conf.low	conf.high
fixed	cond	NA	mucompleximperfective_(Intercept)	-2.798301187222015	0.2626518950575959	-3.3191903106836422	-2.2795104171943885
fixed	cond	NA	mucomplexperfective_(Intercept)	0.9619523833003345	0.17612207530917548	0.6253821298910501	1.3083661430291784
fixed	cond	NA	muimperfective_(Intercept)	-0.08467474033457258	0.13517871207269935	-0.3501646055112066	0.18026815863704343
fixed	cond	NA	mucompleximperfective_log_lemma_freq_scaled	0.5234450885300405	0.2799039100545719	-0.038126436000640494	1.0646463785630933
fixed	cond	NA	mucompleximperfective_translation.L	-0.08899022014256998	0.09311070466602754	-0.2693835143197044	0.09596580023015315
fixed	cond	NA	mucompleximperfective_translation.Q	-0.4464528736886736	0.08879427737258547	-0.6198851619589543	-0.27674481079891616
fixed	cond	NA	mucompleximperfective_translation.C	0.03976519728558834	0.09199595029844732	-0.1401230948933946	0.21664997325243682
fixed	cond	NA	mucompleximperfective_translationE4	0.09726659369760611	0.09172278310972085	-0.08235720583837498	0.27673213693548887
fixed	cond	NA	mucompleximperfective_translationE5	-0.14662717736967193	0.09123460303833938	-0.323196165564728	0.03028652673014401
fixed	cond	NA	mucompleximperfective_translationE6	-0.09928653809585938	0.08733127930292997	-0.27613682960024266	0.06775738767666978
fixed	cond	NA	mucompleximperfective_definitedefinite	-0.18456653781800522	0.0790667604941001	-0.3390637349079006	-0.030663355100509375
fixed	cond	NA	mucompleximperfective_numberP	0.5832296918888469	0.07382565002836537	0.43590101968559297	0.7287885145745305
fixed	cond	NA	mucompleximperfective_person2	-2.688533092675057	0.263715989046036	-3.230525275652085	-2.1935982176141664
fixed	cond	NA	mucompleximperfective_person1	-3.264544371139837	0.30725892025952467	-3.915619657451758	-2.68868968177102
fixed	cond	NA	mucompleximperfective_prefixprefixedverb	-0.2542945079122679	0.10319066038348969	-0.4596927284410136	-0.05343959898033525
fixed	cond	NA	mucompleximperfective_motion_verbmotionverb	0.017476211734286876	0.10691795546360013	-0.18993527728848794	0.22933203335020555
fixed	cond	NA	mucompleximperfective_communication_verbcommunicativeverb	0.24637613572850772	0.15323657345568176	-0.052810981717789286	0.5382315588839361
fixed	cond	NA	mucompleximperfective_modal_verbmodalverb	-1.0974320053251005	0.5559464902117919	-2.2851071593928824	-0.12409494363476978
fixed	cond	NA	mucompleximperfective_lemma_length	1.2952456611601586	0.3470696874771829	0.6127522258677878	1.9718033045377132
fixed	cond	NA	mucomplexperfective_log_lemma_freq_scaled	-3.135534199891646	0.16722385684922952	-3.458328003331998	-2.8075059404552687
fixed	cond	NA	mucomplexperfective_translation.L	-0.13826618077112668	0.058460810103436976	-0.2534215923404413	-0.02562612329177727
fixed	cond	NA	mucomplexperfective_translation.Q	-0.5631732630711304	0.05689790874330986	-0.6741796779349726	-0.4522773429234083
fixed	cond	NA	mucomplexperfective_translation.C	0.38074164859838994	0.058857029117585065	0.2654702887721698	0.4968446125031171
fixed	cond	NA	mucomplexperfective_translationE4	0.04683170805624353	0.058024149455398924	-0.0667535565355609	0.161172057564491
fixed	cond	NA	mucomplexperfective_translationE5	0.05821149267628852	0.05819260498994212	-0.0567676037690636	0.17284331511676565
fixed	cond	NA	mucomplexperfective_translationE6	-0.1856033965438115	0.057899403000718316	-0.2977964555238255	-0.07213950648442638
fixed	cond	NA	mucomplexperfective_definitedefinite	-0.026952152755708246	0.04996491505351762	-0.12431615959368932	0.07010089318940062
fixed	cond	NA	mucomplexperfective_numberP	1.166385651431852	0.048471492171180165	1.0716092531050625	1.2614002839774592
fixed	cond	NA	mucomplexperfective_person2	-2.809028228198534	0.169534503660498	-3.148054808203304	-2.488052157009867
fixed	cond	NA	mucomplexperfective_person1	-2.430454478850832	0.15001966259254115	-2.732992131068391	-2.1443296663493085
fixed	cond	NA	mucomplexperfective_prefixprefixedverb	-2.148008794126487	0.0874799723199297	-2.3202771132226414	-1.9814674162231445
fixed	cond	NA	mucomplexperfective_motion_verbmotionverb	0.006515565574060571	0.08617554185632227	-0.16228895405625784	0.17421958815719885
fixed	cond	NA	mucomplexperfective_communication_verbcommunicativeverb	2.4738093356984603	0.08350913897490139	2.3107367186570276	2.640228143070166
fixed	cond	NA	mucomplexperfective_modal_verbmodalverb	2.6055500748618687	0.1434963101834624	2.323887258373695	2.8883899613037154
fixed	cond	NA	mucomplexperfective_lemma_length	-0.06050126159693921	0.23202664219827407	-0.5247514557576152	0.3940560620374635
fixed	cond	NA	muimperfective_log_lemma_freq_scaled	0.4912079575027355	0.13478929504860127	0.22407005657020546	0.75797533918956606
fixed	cond	NA	muimperfective_translation.L	-0.010059160695685762	0.04276514700690989	-0.09409800664109919	0.07374601590823289
fixed	cond	NA	muimperfective_translation.Q	-0.3077356653791113	0.042459354438870986	-0.39250608788661984	-0.22524121098726227
fixed	cond	NA	muimperfective_translation.C	0.3824231711547572	0.04411800500208429	0.2959184718983243	0.4706004552312125
fixed	cond	NA	muimperfective_translationE4	-0.004413915575464815	0.04414597907359867	-0.09164799736261775	0.08105059701789981
fixed	cond	NA	muimperfective_translationE5	0.2075593517365517	0.0437355436648323	0.12201523363270572	0.2934825777205563
fixed	cond	NA	muimperfective_translationE6	-0.0121730160360862	0.044223730041300396	-0.09769622190174629	0.07334073303525138
fixed	cond	NA	muimperfective_definitedefinite	0.34634774123550977	0.037900133380270117	0.27308493644744125	0.423073362365545
fixed	cond	NA	muimperfective_numberP	0.1617957901953348	0.03817511043189145	0.08706275587604545	0.2390628592935086
fixed	cond	NA	muimperfective_person2	-2.488691762688717	0.10088043943023647	-2.6947938308340245	-2.295807883042426
fixed	cond	NA	muimperfective_person1	-2.6909916526559883	0.09121409621195015	-2.8707295248761593	-2.5122500496097713
fixed	cond	NA	muimperfective_prefixprefixedverb	0.33884899975765925	0.052702514370610264	0.2366853037762287	0.4403828025523102
fixed	cond	NA	muimperfective_motion_verbmotionverb	0.3302575416484556	0.05420034043082503	0.22310302033730844	0.43501150119288085
fixed	cond	NA	muimperfective_communication_verbcommunicativeverb	2.191863717315891	0.06926059878834591	2.0562849029255976	2.3276690394631645
fixed	cond	NA	muimperfective_modal_verbmodalverb	0.0013838141862442487	0.16090911976904523	-0.31128757059307705	0.32749279822181654
fixed	cond	NA	muimperfective_lemma_length	0.1929173188325748	0.17739479941380773	-0.1617301342828776	0.5465011734204945
ran_pars	cond	book:chapter	sd__mucompleximperfective_(Intercept)	1.1237761083595286	0.12792825902374605	0.9039925976025088	1.3940330299610255
ran_pars	cond	book:chapter	sd__mucomplexperfective_(Intercept)	1.075033851871862	0.09775514758122612	0.8970355958674483	1.2825605742637802
ran_pars	cond	book:chapter	sd__muimperfective_(Intercept)	0.7672905323674206	0.06602046207624104	0.6528600655367847	0.912757053317775
